deck_id	card_id	amount
int	int	int
101	10001	3
101	10002	1
101	10003	1
101	10004	1
101	10005	1
101	10006	1
101	40001	3
101	40002	1
101	40003	1
101	40004	1
101	40005	1
101	40006	1
101	50001	3
101	50002	1
101	50003	1
101	50004	1
101	50005	1
101	50006	1
101	20002	1
101	20003	1
101	20004	1
101	20005	1
101	20006	1
101	30001	4
101	30002	1
101	30003	1
101	30004	1
101	30005	1
101	30006	4
101	110000	4
101	110001	4
101	110002	4
101	110003	4
101	110004	4
101	110005	4
101	110006	4
101	110007	4
101	110008	4
101	110009	4
101	110010	4
101	110011	4
101	110012	4
101	110013	4
101	110014	4
101	110015	4
101	110016	4
101	110017	4
101	110018	4
101	110019	4
101	110020	4
101	110021	4
101	110022	4
101	110023	4
101	110024	4
101	110025	4
101	110026	4
101	110027	4
101	140000	4
101	140001	4
101	140002	4
101	140003	4
101	140004	4
101	140005	4
101	140006	4
101	140007	4
101	140008	4
101	140009	4
101	140010	4
101	140011	4
101	140012	4
101	140013	4
101	140014	4
101	140015	4
101	140016	4
101	140017	4
101	140018	4
101	140019	4
101	140020	4
101	140021	4
101	140022	4
101	150000	4
101	150001	4
101	150002	4
101	150003	4
101	150004	4
101	150005	4
101	150006	4
101	150007	4
101	150008	4
101	150009	4
101	150010	4
101	150011	4
101	150012	4
101	150013	4
101	150014	4
101	150015	4
101	150016	4
101	150017	4
101	150018	4
101	150019	4
101	150020	4
101	150021	4
101	150022	4
101	150023	4
101	150024	4
101	150025	4
101	150026	4
101	150027	4
101	150028	4
101	210000	4
101	210001	4
101	210002	4
101	210003	4
101	210004	4
101	210005	4
101	240000	4
101	240001	4
101	250000	4
101	250001	4
101	250002	4
101	310000	4
101	310001	4
101	310002	4
101	310003	4
101	340000	4
101	340001	4
101	340002	4
101	340003	4
101	340004	4
101	340005	4
101	340006	4
101	340007	4
101	340008	4
101	340009	4
101	350000	4
101	350001	4
101	350002	4
101	350003	4
101	350004	4
101	410000	4
101	410001	4
101	410002	4
101	410003	4
101	410004	4
101	410005	4
101	410006	4
101	410007	4
101	410008	4
101	440000	4
101	440001	4
101	440002	4
101	440003	4
101	440004	4
101	440005	4
101	450000	4
101	450001	4
101	450002	4
101	450003	4
101	450004	4
101	200000	4
