deck_id	number	card_id
int	int	int
11	1	10001
11	2	10001
11	3	10001
11	4	110001
11	5	110001
11	6	110001
11	7	110001
11	8	110003
11	9	110003
11	10	110005
11	11	110005
11	12	110018
11	13	110005
11	14	110018
11	15	110001
11	16	110003
11	17	110018
11	18	110018
12	1	10001
12	2	10001
12	3	10001
12	4	110001
12	5	110003
12	6	110001
12	7	110003
12	8	210000
12	9	210001
12	10	210002
12	11	110003
12	12	110005
12	13	110005
12	14	110005
12	15	110005
12	16	110018
12	17	110018
12	18	110018
12	19	110001
12	20	110003
12	21	210000
12	22	110001
12	23	210001
13	1	10001
13	2	10001
13	3	10001
13	4	110001
13	5	210000
13	6	110001
13	7	110005
13	8	310000
13	9	110003
13	10	210002
13	11	110005
13	12	110018
13	13	310000
13	14	410004
13	15	310001
13	16	410004
13	17	410000
13	18	310001
13	19	110018
13	20	410002
13	21	410000
13	22	210000
13	23	110003
13	24	110005
13	25	110005
13	26	210001
13	27	210000
13	28	110001
13	29	310001
13	30	110018
13	31	110003
13	32	110003
13	33	310001
14	1	10004
14	2	10001
14	3	10001
14	4	110018
14	5	110005
14	6	310001
14	7	110003
14	8	410004
14	9	110003
14	10	110005
14	11	210001
14	12	110000
14	13	110004
14	14	110018
14	15	110018
14	16	110004
14	17	210000
14	18	110000
14	19	210001
14	20	210002
14	21	210002
14	22	210000
14	23	410004
14	24	310001
14	25	410004
14	26	410000
14	27	310001
14	28	310000
14	29	410002
14	30	110000
14	31	110003
14	32	110009
14	33	410000
14	34	310000
14	35	210001
14	36	310001
14	37	410002
14	38	410000
15	1	10004
15	2	10001
15	3	10001
15	4	110001
15	5	110001
15	6	110001
15	7	110003
15	8	110003
15	9	110003
15	10	110005
15	11	110005
15	12	110005
15	13	110018
15	14	110018
15	15	110018
15	16	210000
15	17	210000
15	18	210000
15	19	210001
15	20	210001
15	21	210001
15	22	210002
15	23	210002
15	24	210002
15	25	410004
15	26	410004
15	27	410004
15	28	310001
15	29	310001
15	30	310001
15	31	110000
15	32	110000
15	33	110000
15	34	410000
15	35	410000
15	36	410000
15	37	310000
15	38	310000
15	39	410002
15	40	410002
15	41	410002
15	42	110006
15	43	110006
15	44	110006
