id	text	shape	model	no_model	effect	legend	sacrifice	blink	race1	race2	race3	derive	type	version	qlt	cost	atk	health	class1	class2	team	finity	skill_id	keyword	position	usephase	ATK_PRI	DEF_PRI	ComeINAi	AiTar1
int	int	int	int	int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	int	int	int	int	int	int
100000	100000	1	50122	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	1048	1030	100000	4	0	0	11	1	9	0	2	0
100001	100001	1	50122	0	0	0	0	0	0	0	0	0	1	1	2	3	2	3	1048	1030	100001	4	1000011	223	11	1	7	0	2	0
100002	100002	4	50122	0	0	0	0	0	0	0	0	0	1	1	1	3	3	5	1048	1030	100002	4	35,1000021	35,212	11	1	8	0	4	0
100003	100003	1	50122	0	0	0	0	0	0	0	0	0	1	1	2	4	0	6	1048	1030	100003	4	1000031	0	11	1	9	0	2	0
100004	100004	3	50122	0	0	0	0	0	0	0	0	0	1	1	2	5	4	8	1048	1030	100004	4	35	35	11	1	8	0	4	0
100005	100005	2	50122	0	0	0	0	0	0	0	0	0	1	1	1	2	3	1	1048	1030	100005	4	25,12	25,12	11	1	8	0	4	0
100006	100006	1	50122	0	0	0	0	0	0	0	0	0	1	1	1	3	5	5	1048	1030	100006	4	1000061	0	11	1	9	0	2	0
100007	100007	2	50122	0	0	0	0	0	0	0	0	0	1	1	1	4	5	4	1048	1030	100007	4	26	26	11	1	9	0	2	0
100008	100008	1	50122	0	0	0	0	0	0	0	0	0	1	1	2	5	4	4	1048	1030	100008	4	1000081	212	11	1	9	0	2	0
100009	100009	1	50122	0	0	0	0	0	0	0	0	0	1	1	2	6	5	3	1048	1030	100009	4	10	10	31	1	9	0	1	0
100010	100010	4	50122	0	0	0	0	0	0	0	0	0	1	1	2	4	4	3	1048	1030	100010	4	1000101	212	11	1	8	0	2	0
100011	100011	1	50122	0	0	0	0	0	0	0	0	0	1	1	3	5	5	2	1048	1030	100011	4	1000111	0	11	1	9	0	2	0
100012	100012	4	50122	0	0	1	0	0	0	0	0	0	1	1	4	8	8	8	1048	1030	100012	4	14,1000121	208,14,221	11	1	9	0	4	0
100013	100013	500	50131	0	0	0	0	0	0	0	0	0	1	1	1	1	0	5	1048		100013	4	25,35	25,35	11	1	7	0	4	0
100014	100014	104	50033	0	0	0	0	0	0	0	0	0	1	1	3	6	0	8	1048		100014	4	25,35,1000141	25,35	11	1	9	0	1	0
100015	100015	104	50033	0	0	0	0	0	0	0	0	0	1	1	3	6	0	8	1048	0	100015	4	25,35,1000151	25,35	11	1	9	0	1	0
100016	100016	105	50122	0	0	0	0	0	0	0	0	0	1	1	1	2	2	2	1048	1030	100016	4	0	0	11	1	7	0	2	0
100017	100017	105	50122	0	0	0	0	0	0	0	0	0	1	1	1	3	3	4	1048	1030	100017	4	26	26	11	1	7	0	2	0
100018	100018	102	50131	0	0	0	0	0	0	0	0	0	1	1	3	4	0	5	1048	1053	100018	4	25,35,1000181	25,35	11	1	9	0	2	0
100019	100019	103	50131	0	0	0	0	0	0	0	0	0	1	1	3	2	0	2	1048	1053	100019	4	25,35,1000191	25,35	11	1	9	0	2	0
100020	100020	301	50131	0	0	0	0	0	0	0	0	0	1	1	3	5	0	5	1048	1053	100020	4	25,35,1000201	25,35	11	1	9	0	2	0
100021	100021	400	50131	0	0	0	0	0	0	0	0	0	1	1	3	3	0	3	1048	1053	100021	4	25,35,1000211,1000212	25,35	11	1	9	0	2	0
100022	100022	100	50131	0	0	0	0	0	0	0	0	0	1	1	3	4	0	4	1048	1053	100022	4	25,35,1000221	25,35	11	1	9	0	2	0
100023	100023	3	50122	0	0	0	0	0	0	0	0	0	1	100	2	4	1	2	1048	1054	190019	4	42	0	11	1	7	0	4	0
110000	110000	104	50009	0	0	0	0	0	1	0	0	0	1	1	1	1	1	2	1009		110000	4	12	12	11	1	7	0	2	0
110001	110001	105	50010	0	0	0	0	0	1	0	0	0	1	1	1	1	2	1	1000	1032	110001	4	1100011	6	11	1	7	0	2	0
110002	110002	100	50011	0	0	0	0	0	1	1	0	0	1	1	3	2	2	2	1026		110002	4	8,9,1100021	8,9	11	1	7	0	2	0
110003	110003	104	50012	0	0	0	0	0	1	0	0	0	1	1	1	2	1	3	1000	1032	110003	4	1100031	211	11	1	7	0	4	4
110004	110004	100	50013	0	0	0	0	0	1	0	0	0	1	1	1	2	1	3	1000	1037	110004	4	1100041	0	11	1	7	0	4	0
110005	110005	105	50015	0	0	0	0	0	1	0	0	0	1	1	1	3	1	4	1000	1032	110005	4	1100051	211,6	11	1	8	0	4	4
110006	110006	105	50038	0	0	0	0	0	1	0	0	0	1	1	2	3	2	3	1000	1032	110006	4	1100061	223	11	1	7	0	2	0
110007	110007	103	50016	0	0	0	0	0	1	0	0	0	1	1	2	2	2	2	1000	1035	110007	4	1100071	211,39	11	1	7	0	2	6
110008	110008	104	50038	0	0	0	0	0	1	0	0	0	1	1	2	3	3	2	1000	1032	110008	4	1100081	223	11	1	7	0	2	0
110009	110009	106	50018	0	0	0	0	0	1	0	0	0	1	1	2	3	2	3	1000	1039	110009	4	12,27	12,27	11	3	0	9	2	0
110010	110010	103	50019	0	0	0	0	0	1	0	0	0	1	1	1	3	1	5	1000	1037	110010	4	1100101	211	11	1	7	0	2	0
110011	110011	104	50020	0	0	0	0	0	1	1	0	0	1	1	2	2	2	2	1000	1032	110011	4	12,20	12,20	11	1	8	0	2	0
110012	110012	101	50021	0	0	0	0	0	1	1	0	0	1	1	3	3	3	2	1000	1036	110012	4	12,27,1100121	12,27	11	3	0	9	2	0
110013	110013	106	50024	0	0	0	0	0	1	1	0	0	1	1	1	4	3	5	1000	1032	110013	4	1100131	211	11	1	7	0	2	0
110014	110014	102	50023	0	0	0	0	0	1	1	0	0	1	1	2	3	3	3	1024		110014	4	8,12	8,12	11	1	9	0	2	0
110015	110015	100	50022	0	0	0	0	0	1	1	0	0	1	1	2	4	2	4	1000	1032	110015	4	1100151	224	11	1	7	0	2	0
110016	110016	101	50025	0	0	0	0	0	1	1	0	0	1	1	2	4	3	3	1000	1036	110016	4	12,1100161	12	11	1	7	0	2	0
110017	110017	103	50026	0	0	0	0	0	1	1	0	0	1	1	3	4	2	6	1000	1037	110017	4	1100171	0	11	1	7	0	2	0
110018	110018	105	50039	0	0	0	0	0	1	0	0	0	1	1	1	5	5	5	1000	1032	110018	4	1100181	6	11	1	9	0	4	0
110019	110019	102	50028	0	0	0	0	0	1	0	0	0	1	1	2	6	4	5	1024		110019	4	8,1100191	8,6	11	1	9	0	2	0
110020	110020	102	50029	0	0	0	0	0	1	1	0	0	1	1	3	3	2	3	1024		110020	4	8,1100201	8,221	11	1	9	0	2	8
110021	110021	103	50030	0	0	1	0	0	1	1	0	0	1	1	4	6	5	5	1026		110021	4	8,9,1100211	208,8,9	11	1	7	0	2	0
110022	110022	104	50039	0	0	0	0	0	1	1	0	0	1	1	3	6	3	4	1000	1032	110022	4	1100221,1100222	6,211	11	1	9	0	2	0
110023	110023	103	50032	0	0	0	0	0	1	1	0	0	1	1	3	7	5	9	1021		110023	4	8,1100231	8	11	1	7	0	2	0
110024	110024	104	50033	0	0	0	0	0	1	1	0	0	1	1	4	7	0	8	1048	1030	110024	4	25,35,1100241	25,35	11	1	7	0	2	0
110025	110025	100	50034	0	0	0	0	0	1	1	0	0	1	1	3	8	7	7	1026		110025	4	8,27,1100251	8,27,211	11	3	0	7	4	0
110026	110026	100	50035	0	0	0	0	0	1	1	0	0	1	1	3	7	7	7	1026		110026	4	8,27,9,35,1100261	9,35,28	11	3	8	0	2	0
110027	110027	100	50036	0	0	1	0	0	1	1	0	0	1	1	4	4	2	2	1000	1034	110027	4	1100271,1100272	208,28	11	1	8	0	4	0
110028	110028	100	50013	0	0	0	0	0	1	0	0	0	1	1	1	1	1	2	1050	1052	110028	4	1100281	211	11	1	8	0	4	2
110029	110029	100	50013	0	0	0	0	0	1	0	0	0	1	1	1	2	1	3	1050	1052	110029	4	1100291	210	11	1	8	0	4	2
110030	110030	100	50013	0	0	0	0	0	1	0	0	0	1	1	1	3	1	5	1050	1052	110030	4	1100301	0	11	1	8	0	4	0
110031	110031	100	50018	0	0	0	0	0	1	0	0	0	1	1	2	2	2	2	1050	1038	110031	4	1100311	0	11	1	8	0	4	0
110032	110032	100	50019	0	0	0	0	0	1	0	0	0	1	1	2	5	2	6	1050	1052	110032	4	1100321	0	11	1	8	0	4	0
110033	110033	100	50025	0	0	0	0	0	1	0	0	0	1	1	2	3	1	3	1050	1038	110033	4	1100331	0	11	1	8	0	4	0
110034	110034	100	50026	0	0	0	0	0	1	0	0	0	1	1	2	3	2	3	1000	1037	110034	4	1100341	211	11	1	8	0	4	0
110035	110035	100	50033	0	0	0	0	0	1	0	0	0	1	1	2	4	2	4	1048		110035	4	1100351	210	11	1	8	0	4	8
110036	110036	100	50026	0	0	0	0	0	1	1	0	0	1	1	3	4	0	4	1000	1037	110036	4	1100361	0	11	1	8	0	4	0
110037	110037	100	50013	0	0	0	0	0	1	0	0	0	1	1	3	3	3	2	1050	1037	110037	4	27,1100371	211,27	11	3	7	8	4	0
110038	110038	100	50011	0	0	0	0	0	1	1	0	0	1	1	3	7	5	6	1026		110038	4	8,1100381	8	11	1	8	0	4	0
110039	110039	105	50014	0	0	0	0	0	1	0	0	0	1	1	1	2	2	3	1000	1032	110039	4	0	0	11	1	7	0	2	0
110040	110040	105	50027	0	0	0	0	0	1	0	0	0	1	1	1	3	2	5	1000	1032	110040	4	0	0	11	1	7	0	2	0
110041	110041	105	50018	0	0	0	0	0	1	0	0	0	1	1	1	2	2	2	1000	1032	110041	4	9	9	11	1	7	0	2	0
110042	110042	105	50013	0	0	0	0	0	1	0	0	0	1	1	1	1	0	3	1000		110042	4	1100421	211	11	1	7	0	4	0
110043	110043	105	50009	0	0	0	0	0	1	0	0	0	1	1	1	2	2	2	1009		110043	4	27,1100431	27,211	11	3	0	7	4	0
120000	120000	200	50023	0	0	0	0	0	2	0	0	0	1	1	1	1	1	2	1024		120000	4	8	8	11	1	9	0	2	0
120001	120001	200	50016	0	0	0	0	0	2	0	0	0	1	1	1	3	1	4	1003	1035	120001	4	1200011	210	11	1	7	0	2	0
120002	120002	200	50122	0	0	0	0	0	2	0	0	0	1	1	1	2	2	5	1048	1030	120002	4	25,35	25,35	11	1	8	0	4	0
120003	120003	200	50023	0	0	0	0	0	2	0	0	0	1	1	1	2	1	1	1024		120003	4	8,1200031	8,212	11	1	9	0	2	0
120004	120004	201	50016	0	0	0	0	0	2	0	0	0	1	1	1	3	2	3	1001	1035	120004	4	1200041	211	11	1	9	0	2	0
120005	120005	201	50016	0	0	0	0	0	2	2	0	0	1	1	2	3	2	2	1003	1035	120005	4	1200051	211	11	1	7	0	2	9
120006	120006	201	50016	0	0	0	0	0	2	0	0	0	1	1	1	3	1	4	1003	1035	120006	4	1200061	0	11	1	8	0	2	0
120007	120007	200	50053	0	0	0	0	0	2	0	0	0	1	1	1	3	3	2	1013		120007	4	8,1200071	8,28	11	1	9	0	2	0
120008	120008	200	50131	0	0	0	0	0	2	2	0	0	1	1	2	3	0	7	1023		120008	4	35,1200081	35,221	11	1	8	0	4	0
120009	120009	200	50047	0	0	0	0	0	2	0	0	0	1	1	1	4	2	4	1015		120009	4	27,8	27,8	11	3	0	9	2	0
120010	120010	201	50016	0	0	0	0	0	2	0	0	0	1	1	2	4	1	5	1003	1035	120010	4	1200101	210	11	1	7	0	2	9
120011	120011	200	50053	0	0	0	0	0	2	0	0	0	1	1	1	5	3	6	1013		120011	4	8,1200111	8,28	11	1	9	0	2	0
120012	120012	200	50054	0	0	0	0	0	2	0	0	0	1	1	2	5	4	6	1009		120012	4	24	24	11	1	8	0	2	0
120013	120013	201	50011	0	0	0	0	0	2	2	0	0	1	1	3	6	5	6	1016		120013	4	8,24,1200131	8,24,28	11	1	9	0	2	0
120014	120014	201	50032	0	0	0	0	0	2	2	0	0	1	1	3	4	1	6	1022		120017	4	8,1200141	8	11	1	8	0	2	0
120015	120015	201	50011	0	0	0	0	0	2	2	0	0	1	1	4	5	2	4	1016		120015	4	27,8,1200151,1200152	27,8	11	3	0	0	2	0
120016	120016	200	50053	0	0	0	0	0	2	2	0	0	1	1	3	7	6	6	1014		120016	4	8,1200161	8,211	11	1	8	0	2	0
120017	120017	201	50016	0	0	1	0	0	2	2	0	0	1	1	4	4	1	1	1000	1035	120017	4	1200171,1200172	208,211,221	11	1	7	0	2	8
120018	120018	201	50011	0	0	0	0	0	2	0	0	0	1	1	1	2	2	1	1016		120018	4	27,8	27,8	11	3	0	9	2	0
120019	120019	201	50011	0	0	0	0	0	2	0	0	0	1	1	1	4	3	3	1000	1035	120019	4	8,1200191	8,211	11	1	7	0	2	4
120020	120020	201	50016	0	0	0	0	0	2	0	0	0	1	1	1	6	2	3	1022		120020	4	1200201	211	11	1	7	0	2	9
