quest_id	class	quest_name	quest_require	icon	condition	quest_type	restrictions	camp	amount	reward_id	exp_reward	gold_reward	gem_reward	fame_reward	card__reward	pack__reward
int	int	int	int	string	int	int	int	string	int	int	int	int	int	int	string	string
101	10	121	120	img_AchievementsIcon01	0	6	0	0	2	101	0	20	0	0	0	0
102	10	121	120	img_AchievementsIcon01	101	6	0	0	3	102	0	20	0	0	100002#2	0
103	10	121	120	img_AchievementsIcon01	102	6	0	0	4	103	0	20	0	0	100004#2	0
104	10	121	120	img_AchievementsIcon01	103	6	0	0	5	104	0	20	0	0	100003#2	0
105	10	121	120	img_AchievementsIcon01	104	6	0	0	6	105	0	20	0	0	100001#2	0
106	10	121	120	img_AchievementsIcon01	105	6	0	0	7	106	0	20	0	0	100009#2	0
107	10	121	120	img_AchievementsIcon01	106	6	0	0	8	107	0	20	0	0	10006#1	0
108	10	121	120	img_AchievementsIcon01	107	6	0	0	9	108	0	20	0	0	40006#1	0
109	10	121	120	img_AchievementsIcon02	108	6	0	0	10	109	0	20	0	0	50003#1	0
110	10	121	120	img_AchievementsIcon02	109	6	0	0	11	110	0	30	0	0	50004#1	0
111	10	121	120	img_AchievementsIcon02	110	6	0	0	12	111	0	30	0	0	50005#1	0
112	10	121	120	img_AchievementsIcon02	111	6	0	0	13	112	0	30	0	0	50006#1	0
113	10	121	120	img_AchievementsIcon02	112	6	0	0	14	113	0	30	0	0	30006#1	0
114	10	121	120	img_AchievementsIcon02	113	6	0	0	15	114	0	30	0	0	20003#1	0
115	10	121	120	img_AchievementsIcon02	114	6	0	0	16	115	0	40	0	0	20004#1	0
116	10	121	120	img_AchievementsIcon02	115	6	0	0	17	116	0	40	0	0	20005#1	0
117	10	121	120	img_AchievementsIcon02	116	6	0	0	18	117	0	40	0	0	20006#1	0
118	10	121	120	img_AchievementsIcon02	117	6	0	0	19	118	0	40	0	0	0	152#1
119	10	121	120	img_AchievementsIcon03	118	6	0	0	20	119	0	40	0	0	0	151#1
120	10	121	120	img_AchievementsIcon03	119	6	0	0	21	120	0	50	0	0	0	150#1,100#1
121	10	121	120	img_AchievementsIcon03	120	6	0	0	22	121	0	50	0	0	0	151#1
122	10	121	120	img_AchievementsIcon03	121	6	0	0	23	122	0	50	0	0	0	150#1,100#1
123	10	121	120	img_AchievementsIcon03	122	6	0	0	24	123	0	50	0	0	0	150#1,100#1
124	10	121	120	img_AchievementsIcon03	123	6	0	0	25	124	0	50	0	0	0	151#1
125	10	121	120	img_AchievementsIcon03	124	6	0	0	26	125	0	60	0	0	0	150#1,100#1
126	10	121	120	img_AchievementsIcon03	125	6	0	0	27	126	0	60	0	0	0	150#1,100#1
127	10	121	120	img_AchievementsIcon03	126	6	0	0	28	127	0	60	0	0	0	151#1
128	10	121	120	img_AchievementsIcon03	127	6	0	0	29	128	0	60	0	0	0	150#1,100#1
129	10	121	120	img_AchievementsIcon04	128	6	0	0	30	129	0	60	0	0	0	150#1,100#1
130	10	121	120	img_AchievementsIcon04	129	6	0	0	31	130	0	70	0	0	0	151#1
131	10	121	120	img_AchievementsIcon04	130	6	0	0	32	131	0	70	0	0	0	150#1,100#1
