deck_id	number	card_id
int	int	int
1	1	90000
1	2	90000
1	3	90000
1	4	100000
1	5	110039
1	6	110040
1	7	110039
1	8	110039
1	9	110040
1	10	110039
1	11	110040
1	12	110039
1	13	110040
1	14	110040
1	15	110040
2	1	90001
2	2	90001
2	3	90000
2	4	100000
2	5	100000
2	6	110039
2	7	110039
2	8	100003
2	9	110040
2	10	100007
2	11	100000
2	12	110039
2	13	110039
2	14	100003
2	15	110040
2	16	100000
2	17	110039
2	18	110039
2	19	100007
2	20	110040
2	21	110039
2	22	100003
2	23	110040
3	1	90002
3	2	90002
3	3	90002
3	4	340000
3	5	340000
3	6	340007
3	7	340007
3	8	340001
3	9	340007
3	10	350000
3	11	340001
3	12	340001
3	13	340001
3	14	340001
3	15	340001
3	16	340001
3	17	340001
3	18	340001
3	19	340001
3	20	340001
3	21	340001
3	22	340001
3	23	340001
3	24	340001
3	25	340001
3	26	340001
3	27	340001
3	28	340001
3	29	340001
3	30	340001
3	31	340001
3	32	340001
3	33	340001
4	1	90002
4	2	90002
4	3	90002
4	4	410004
4	5	410004
4	6	410004
4	7	440002
4	8	440002
4	9	440002
4	10	440002
4	11	440002
4	12	440002
4	13	440002
4	14	440002
4	15	440002
4	16	440002
4	17	440002
4	18	440002
4	19	440002
4	20	440002
5	1	10002
5	2	50001
5	3	40001
5	4	210000
5	5	210001
5	6	210000
5	7	210001
5	8	210000
5	9	210001
5	10	210000
5	11	210001
5	12	210000
5	13	210001
5	14	210000
5	15	210001
5	16	210000
5	17	210001
5	18	210000
5	19	210001
5	20	210000
5	21	210001
5	22	210000
5	23	210001
5	24	210000
5	25	210001
5	26	210000
5	27	210001
5	28	210000
5	29	210001
5	30	210000
6	1	10002
6	2	40001
6	3	50001
6	4	100000
6	5	100000
6	6	100000
6	7	100007
6	8	100007
6	9	100013
6	10	100013
6	11	100016
6	12	100016
6	13	100017
6	14	100017
6	15	100017
6	16	110003
6	17	110003
6	18	110004
6	19	110004
6	20	110010
6	21	110010
6	22	110039
6	23	110039
6	24	110040
6	25	110040
6	26	140001
6	27	140001
6	28	140004
6	29	140004
6	30	140023
6	31	140024
6	32	140024
6	33	150001
6	34	150001
6	35	150009
6	36	150009
6	37	150012
6	38	150012
6	39	150040
6	40	150040
6	41	210000
6	42	210000
6	43	210001
6	44	210001
6	45	310004
6	46	310004
6	47	340000
6	48	340000
6	49	340001
6	50	340001
6	51	340007
6	52	340007
6	53	350000
6	54	410000
6	55	410000
6	56	410004
6	57	410004
6	58	440000
6	59	440000
6	60	440002
6	61	440002
6	62	440003
6	63	450002
31	1	10001
31	2	10001
31	3	10002
31	4	110001
31	5	110001
31	6	110003
31	7	110003
31	8	110003
31	9	110005
31	10	110005
31	11	110011
31	12	410005
31	13	110018
31	14	110018
31	15	210000
31	16	210000
31	17	210004
31	18	200000
31	19	210001
31	20	210001
31	21	200000
31	22	210002
31	23	210002
31	24	410003
31	25	410004
31	26	410004
31	27	310001
31	28	310001
31	29	210003
31	30	110000
31	31	110000
31	32	410007
31	33	410000
31	34	410000
31	35	410006
31	36	410001
31	37	410001
31	38	410002
31	39	410002
31	40	410005
31	41	110006
31	42	110006
31	43	110019
31	44	110008
31	45	110008
31	46	110016
31	47	110009
31	48	110009
31	49	110015
31	50	110004
31	51	110004
31	52	110011
31	53	110007
32	1	20004
32	2	20005
32	3	20006
32	4	120005
32	5	120000
32	6	120000
32	7	120000
32	8	120001
32	9	120001
32	10	120001
32	11	120002
32	12	120002
32	13	120002
32	14	120003
32	15	120003
32	16	120003
32	17	120004
32	18	120004
32	19	120004
32	20	120005
32	21	120005
32	22	120006
32	23	120006
32	24	120009
32	25	120009
32	26	120010
32	27	120010
32	28	220000
32	29	220000
32	30	220001
32	31	220001
32	32	220001
32	33	220000
32	34	320000
32	35	320000
32	36	320000
32	37	320001
32	38	320001
32	39	320002
32	40	320002
32	41	420000
32	42	420000
32	43	420002
32	44	420002
32	45	420002
32	46	420003
32	47	420003
32	48	420004
32	49	420004
32	50	420005
32	51	420005
32	52	320003
32	53	320003
33	1	30006
33	2	30001
33	3	30001
33	4	130003
33	5	130000
33	6	130000
33	7	130000
33	8	130003
33	9	130002
33	10	130002
33	11	130004
33	12	130004
33	13	130004
33	14	130005
33	15	130005
33	16	130005
33	17	130006
33	18	130006
33	19	130006
33	20	130007
33	21	130007
33	22	130032
33	23	130008
33	24	130008
33	25	130008
33	26	130011
33	27	130011
33	28	130011
33	29	130032
33	30	130014
33	31	130014
33	32	130016
33	33	130016
33	34	130016
33	35	230000
33	36	230000
33	37	230000
33	38	230001
33	39	230001
33	40	330000
33	41	330000
33	42	330001
33	43	330001
33	44	330002
33	45	330002
33	46	330003
33	47	330003
33	48	330004
33	49	330004
33	50	430000
33	51	430000
33	52	330007
33	53	330007
34	1	40006
34	2	40001
34	3	40001
34	4	140000
34	5	140000
34	6	140001
34	7	140001
34	8	140002
34	9	140002
34	10	140003
34	11	140003
34	12	140004
34	13	140004
34	14	140005
34	15	140006
34	16	140006
34	17	140007
34	18	140007
34	19	140008
34	20	140008
34	21	140009
34	22	140010
34	23	140011
34	24	140012
34	25	140013
34	26	140021
34	27	140023
34	28	140023
34	29	140023
34	30	140024
34	31	140024
34	32	140024
34	33	240000
34	34	240000
34	35	340000
34	36	340000
34	37	340001
34	38	340001
34	39	340002
34	40	340002
34	41	340003
34	42	340003
34	43	340007
34	44	340008
34	45	440000
34	46	440000
34	47	440001
34	48	440001
34	49	440002
34	50	440002
34	51	440003
34	52	440005
34	53	440005
35	1	50001
35	2	50004
35	3	50006
35	4	150001
35	5	150000
35	6	150000
35	7	150001
35	8	150001
35	9	150002
35	10	150002
35	11	150003
35	12	150003
35	13	150004
35	14	150004
35	15	150005
35	16	150005
35	17	150006
35	18	150006
35	19	150007
35	20	150007
35	21	150008
35	22	150008
35	23	150009
35	24	150009
35	25	150010
35	26	150010
35	27	150011
35	28	150011
35	29	150012
35	30	150012
35	31	150013
35	32	250000
35	33	250000
35	34	350000
35	35	350000
35	36	350001
35	37	350001
35	38	350002
35	39	350004
35	40	450000
35	41	450001
35	42	450001
35	43	450002
35	44	450002
35	45	450003
35	46	150025
35	47	450004
35	48	350002
35	49	250001
35	50	150015
35	51	150016
35	52	150017
35	53	150018
36	1	10002
36	2	50004
36	3	50006
36	4	310004
36	5	310004
36	6	310004
36	7	150001
36	8	150001
36	9	150001
36	10	150002
36	11	150002
36	12	150002
36	13	150011
36	14	150011
36	15	150011
36	16	150016
36	17	150016
36	18	150016
36	19	350000
36	20	350000
36	21	350000
36	22	410001
36	23	410001
36	24	410004
36	25	410004
36	26	410004
36	27	150017
36	28	150017
36	29	150017
36	30	110009
36	31	110009
36	32	150028
36	33	150019
36	34	150019
36	35	150023
36	36	150023
36	37	410002
36	38	410002
36	39	410005
36	40	350008
36	41	350008
36	42	100012
36	43	100019
36	44	100019
36	45	150031
36	46	150031
36	47	150032
36	48	150032
36	49	110032
36	50	110032
36	51	250000
36	52	250000
36	53	350006
100	1	10001
100	2	10001
100	3	10001
100	4	110000
100	5	100000
100	6	340000
100	7	340001
100	8	340001
100	9	340001
100	10	340001
101	1	10001
101	2	10001
101	3	10001
101	4	350005
101	5	250000
101	6	340001
101	7	350002
101	8	340001
102	1	10001
102	2	10001
102	3	10001
102	4	320001
102	5	120000
103	1	10001
103	2	10001
103	3	10001
103	4	420006
103	5	440005
103	6	410007
103	7	440002
103	8	350004
104	1	90000
104	2	90003
104	3	90003
104	4	110009
104	5	350001
104	6	150012
105	1	10002
105	2	90000
105	3	90006
105	4	350002
105	5	340001
105	6	250000
105	7	350002
105	8	340001
105	9	250000
106	1	10001
106	2	10001
106	3	10001
106	4	310000
107	1	10001
107	2	10001
107	3	10001
107	4	450002
108	1	10001
108	2	10001
108	3	10001
108	4	340007
108	5	330005
108	6	330005
109	1	10001
109	2	10001
109	3	10001
109	4	340007
109	5	410007
110	1	90000
110	2	90000
110	3	90000
110	4	310001
110	5	310001
111	1	90000
111	2	90005
111	3	90005
111	4	110007
111	5	140013
111	6	420002
111	7	340014
111	8	350004
111	9	350004
111	10	350004
111	11	350004
112	1	90000
112	2	90000
112	3	90000
112	4	340000
112	5	140013
112	6	350001
112	7	350009
112	8	420003
112	9	100017
113	1	90000
113	2	90000
113	3	90000
113	4	410000
113	5	450002
113	6	110009
113	7	440003
113	8	140029
113	9	340010
113	10	100017
999	1	90021
999	2	90021
999	3	90021
999	4	360001
999	5	190022
999	6	190022
999	7	190022
999	8	190022
999	9	190022
999	10	190022
999	11	190022
999	12	190022
999	13	190022
999	14	190022
999	15	190022
999	16	190022
999	17	190022
999	18	190022
999	19	190022
999	20	190022
999	21	190022
999	22	190022
