id	text	race	shape	model	effect	holycost	version	qlt	health	finity	skill_id	keyword	usephase	ATK_PRI	DEF_PRI	AiTar1	AiTar2
int	int	int	int	int	string	int	int	int	int	int	string	string	int	int	int	int	int
10001	10001	1	10001	0	0	0	1	1	12	3	0	200	0	0	0	0	0
10002	10002	1	10002	0	0	3	1	2	8	1	100021	200,201,210	3	0	3	3	0
10003	10003	1	10003	0	0	2	1	2	8	1	100031	200,201,210	3	0	2	2	0
10004	10004	1	10004	0	0	4	1	2	8	1	100041	200,201,210	1	3	0	0	0
10005	10005	1	10005	0	0	2	1	2	8	1	100051	201,210,12	3	0	1	4	0
10006	10006	1	10006	0	0	4	1	2	8	1	100061	222,201,210	1	3	0	0	0
20001	20001	2	20001	0	0	0	1	1	12	3	0	200	0	0	0	0	0
20002	20002	2	20002	0	0	2	1	2	8	1	200021	222,201,24	3	0	2	4	0
20003	20003	2	20003	0	0	3	1	2	8	1	200031	200,201,210	1	2	0	4	0
20004	20004	2	20004	0	0	2	1	2	8	1	200041	201,210,8	3	0	1	4	0
20005	20005	2	20005	0	0	4	1	2	8	1	200051	200,201,210	3	0	2	0	0
20006	20006	2	20006	0	0	4	1	2	8	1	200061	222,201,210	1	3	0	0	0
30001	30001	3	30001	0	0	0	1	1	12	3	0	200	0	0	0	0	0
30002	30002	3	30002	0	0	2	1	2	8	1	300021	200,201,210	3	0	1	2	0
30003	30003	3	30003	0	0	2	1	2	8	1	300031	200,201,210	3	0	1	0	0
30004	30004	3	30004	0	0	2	1	2	8	1	300041	200,201,210	3	0	2	2	0
30005	30005	3	30005	0	0	3	1	2	8	1	300051	200,201,210	1	2	0	1	0
30006	30006	3	30006	0	0	4	1	2	8	1	300061	222,201,210	1	3	0	0	0
40001	40001	4	40001	0	0	0	1	1	12	3	0	200	0	0	0	0	0
40002	40002	4	40002	0	0	2	1	2	8	1	400021	200,201,210	1	2	0	1	0
40003	40003	4	40003	0	0	2	1	2	8	1	400031	200,201,210	3	0	3	0	0
40004	40004	4	40004	0	0	2	1	2	8	1	400041	200,201,210	3	0	1	4	0
40005	40005	4	40005	0	0	4	1	2	8	1	400051	200,201,210	3	0	2	0	0
40006	40006	4	40006	0	0	4	1	2	8	1	400061	222,201,210	1	3	0	0	0
50001	50001	5	50001	0	0	0	1	1	12	3	0	200	0	0	0	0	0
50002	50002	5	50002	0	0	2	1	2	8	1	500021	200,201,210	3	2	1	2	0
50003	50003	5	50003	0	0	2	1	2	8	1	500031	200,201,210	3	0	1	4	0
50004	50004	5	50004	0	0	3	1	2	8	1	500041	200,201,210	1	2	0	4	0
50005	50005	5	50005	0	0	5	1	2	8	1	500051	200,201,210	1	3	0	0	0
50006	50006	5	50006	0	0	4	1	2	8	1	500061	222,201,210	1	3	0	0	0
90000	90000	0	90000	0	0	0	999	1	2	0	0	200	0	0	0	0	0
90001	90001	0	90000	0	0	0	999	1	4	0	0	200	0	0	0	0	0
90002	90002	0	90000	0	0	0	999	1	5	0	0	200	0	0	0	0	0
90003	90003	0	90000	0	0	0	999	1	1	0	0	200	0	0	0	0	0
90004	90004	0	90000	0	0	0	999	1	7	0	0	200	0	0	0	0	0
90005	90005	0	90000	0	0	0	999	1	0	0	0	200	0	0	0	0	0
90006	90006	0	90000	0	0	0	999	1	3	0	0	200	0	0	0	0	0
90007	90007	4	90007	0	0	0	999	3	8	0	900071	0	3	0	9	3	0
90008	90008	1	90008	0	0	3	999	3	8	0	900081	0	3	0	8	0	0
90009	90009	4	90009	0	0	4	999	3	8	0	900091	0	3	4	7	0	0
90010	90010	1	90010	0	0	4	999	3	12	0	900101	0	3	0	5	3	0
90011	90011	1	90011	0	0	1	999	3	12	0	900111	0	3	0	6	8	0
90012	90012	4	90012	0	0	3	999	3	35	0	900121	0	3	5	6	0	0
90013	90013	5	90013	0	0	3	999	3	40	0	900131	0	3	0	6	0	0
90014	90014	3	90014	0	0	4	999	3	20	0	900141	0	3	6	2	7	0
90015	90015	3	90015	0	0	3	999	3	20	0	900151	0	3	0	4	4	0
90016	90016	5	90016	0	0	4	999	3	8	0	900161	0	3	4	6	0	0
90017	90017	2	90017	0	0	2	999	3	8	0	900171	0	3	0	7	0	0
90018	90018	3	90018	0	0	2	999	3	8	0	900181	0	3	0	7	1	0
90019	90019	4	90019	0	0	3	999	3	8	0	900191	0	3	0	6	8	0
90020	90020	4	90020	0	0	2	999	3	10	0	900201	0	3	5	1	4	0
90021	90021	0	20006	0	0	1	999	3	30	0	900211	0	3	3	0	2	0
90022	90022	0	20006	0	0	0	999	3	30	0	900221	0	3	0	0	0	0
