Id	GetWay	Group	version	qlt	type	item	Number	Odds
int	int	int	string	int	int	int	int	int
100	2	1	1	1	1	0	1	10000
100	2	2	1	1	1	0	1	9000
100	2	2	1	2	1	0	1	1000
100	2	3	1	1	1	0	1	6500
100	2	3	1	2	1	0	1	3500
100	2	4	1	2	1	0	1	8000
100	2	4	1	3	1	0	1	2600
100	2	4	1	4	1	0	1	100
101	2	1	1	1	1	0	1	10000
101	2	2	1	1	1	0	1	10000
101	2	3	1	1	1	0	1	10000
101	2	4	1	1	1	0	1	10000
101	2	5	1	2	1	0	1	10000
101	2	6	1	2	1	0	1	10000
101	2	7	1	3	1	0	1	8800
101	2	7	1	4	1	0	1	1200
102	2	1	1	1	1	0	1	10000
102	2	2	1	1	1	0	1	10000
102	2	3	1	1	1	0	1	10000
102	2	4	1	1	1	0	1	10000
102	2	5	1	2	1	0	1	10000
102	2	6	1	2	1	0	1	7900
102	2	6	1	3	1	0	1	2000
102	2	6	1	4	1	0	1	100
102	2	7	1	3	1	0	1	6000
102	2	7	1	4	1	0	1	4000
103	2	1	1	1	1	0	1	7000
103	2	1	1	2	1	0	1	2700
103	2	1	1	3	1	0	1	290
103	2	1	1	4	1	0	1	10
110	2	1	0	0	3	2	6	5000
110	2	1	0	0	3	2	10	4000
110	2	1	0	0	3	2	15	1000
111	2	1	0	0	3	2	6	5000
111	2	1	0	0	3	2	10	4000
111	2	1	0	0	3	2	15	1000
112	2	1	0	0	3	2	10	5000
112	2	1	0	0	3	2	15	4000
112	2	1	0	0	3	2	20	1000
113	2	1	1	1	1	0	1	6000
113	2	1	1	0	3	2	15	4000
114	2	1	1	1	1	0	1	7800
114	2	1	1	2	1	0	1	2180
115	2	1	1	3	1	0	1	20
115	2	1	1	1	1	0	1	8000
115	2	1	1	2	1	0	1	1700
115	2	1	1	3	1	0	1	290
115	2	1	1	4	1	0	1	10
116	2	1	0	0	3	2	6	5000
116	2	1	0	0	3	2	10	4000
116	2	1	0	0	3	2	15	1000
117	2	1	0	0	3	2	6	5000
117	2	1	0	0	3	2	10	4000
117	2	1	0	0	3	2	15	1000
118	2	1	0	0	3	2	6	5000
118	2	1	0	0	3	2	10	4000
118	2	1	0	0	3	2	15	1000
119	2	1	1	1	1	0	1	6000
119	2	1	1	0	3	2	10	4000
120	2	1	1	1	1	0	1	7800
120	2	1	1	2	1	0	1	2200
121	2	1	1	1	1	0	1	8000
121	2	1	1	2	1	0	1	1700
121	2	1	1	3	1	0	1	290
121	2	1	1	4	1	0	1	10
150	2	1	1	2	1	0	1	10000
151	2	1	1	3	1	0	1	10000
152	2	1	1	4	1	0	1	10000
900	2	1	0	0	3	3	5	10000
