lv	exp
int	int
1	70
2	92
3	162
4	286
5	470
6	720
7	1042
8	1442
9	1926
10	2500
11	3170
12	3942
13	4822
14	5816
15	6930
16	8170
17	9542
18	11052
19	12706
20	14510
21	16470
22	18592
23	20882
24	23346
25	25990
26	28820
27	31842
28	35062
29	38486
30	42120
31	45970
32	50042
33	54342
34	58876
35	63650
36	68670
37	73942
38	79472
39	85266
40	91330
41	97670
42	104292
43	111202
44	118406
45	125910
46	133720
47	141842
48	150282
49	159046
50	168140
51	177570
52	187342
53	197462
54	207936
55	218770
56	229970
57	241542
58	253492
59	265826
60	278550
61	291670
62	305192
63	319122
64	333466
65	348230
66	363420
67	379042
68	395102
69	411606
70	428560
71	445970
72	463842
73	482182
74	500996
75	520290
76	540070
77	560342
78	581112
79	602386
80	624170
81	646470
82	669292
83	692642
84	716526
85	740950
86	765920
87	791442
88	817522
89	844166
90	871380
91	899170
92	927542
93	956502
94	986056
95	1016210
96	1046970
97	1078342
98	1110332
99	1142946
100	1176190
