item_id	item_name_id	item_desc1_id	type	subtype	overlay	drop_id	repeat
int	int	int	int	int	int	string	int
1	5001	6001	100	1	2000000000	0	0
2	5002	6002	100	2	2000000000	0	0
3	5003	6003	100	3	2000000000	0	0
4	5004	6004	100	4	2000000000	0	0
100	5100	6100	1	1	999	100	0
101	5101	6101	1	1	999	101	0
102	5102	6102	1	1	999	102	4
103	5103	6103	1	1	999	103	0
150	5104	6203	1	1	999	150	0
151	5105	6204	1	1	999	151	0
152	5106	6205	1	1	999	152	0
200	5200	6200	2	1	1	0	0
201	5201	6201	2	1	1	0	0
202	5202	6202	2	1	1	0	0
300	5300	0	3	1	1	300	0
301	5301	0	3	1	1	301	0
302	5302	0	3	1	1	302	0
303	5303	0	3	1	1	303	0
304	5304	0	3	1	1	304	0
