id	exist 	buy	sell
int	int	int	int
100000	1	10	1
100001	1	80	8
100002	1	10	1
100003	1	80	8
100004	1	80	8
100005	1	10	1
100006	1	10	1
100007	1	10	1
100008	1	90	9
100009	1	80	8
100010	1	90	9
100011	1	450	45
100012	1	1800	180
100013	1	10	1
100014	1	500	50
100015	1	500	50
100016	1	10	1
100017	1	10	1
100018	1	550	55
100019	1	550	55
100020	1	550	55
100021	1	550	55
100022	1	550	55
110000	1	10	1
110001	1	15	1
110002	1	550	55
110003	1	10	1
110004	1	10	1
110005	1	15	1
110006	1	90	9
110007	1	110	11
110008	1	90	9
110009	1	90	9
110010	1	10	1
110011	1	100	10
110012	1	550	55
110013	1	15	1
110014	1	100	10
110015	1	90	9
110016	1	90	9
110017	1	500	50
110018	1	15	1
110019	1	90	9
110020	1	500	50
110021	1	2200	220
110022	1	560	56
110023	1	520	52
110024	1	1900	190
110025	1	500	50
110026	1	560	56
110027	1	1900	190
110028	1	10	1
110029	1	10	1
110030	1	15	1
110031	1	110	11
110032	1	110	11
110033	1	110	11
110034	1	110	11
110035	1	100	10
110036	1	560	56
110037	1	560	56
110038	1	560	56
110039	1	10	1
110040	1	10	1
110041	1	10	1
110042	1	10	1
110043	1	15	1
120000	1	10	1
120001	1	15	1
120002	1	15	1
120003	1	15	1
120004	1	15	1
120005	1	100	10
120006	1	20	2
120007	1	10	1
120008	1	90	9
120009	1	15	1
120010	1	90	9
120011	1	10	1
120012	1	80	8
120013	1	560	56
120014	1	500	50
120015	1	1900	190
120016	1	600	60
120017	1	1900	190
120018	1	10	1
120019	1	15	1
120020	1	15	1
120021	1	100	10
120022	1	130	13
120023	1	100	10
120024	1	100	10
120025	1	90	9
120026	1	100	10
120027	1	90	9
120028	1	90	9
120029	1	580	58
120030	1	580	58
120031	1	500	50
120032	1	500	50
120033	0	550	55
120034	1	1800	180
120035	1	10	1
120036	1	20	2
120037	1	20	2
120038	1	20	2
120039	1	15	1
120040	1	2100	210
130000	1	10	1
130001	1	110	11
130002	1	15	1
130003	1	100	10
130004	1	15	1
130005	1	15	1
130006	1	15	1
130007	1	15	1
130008	1	15	1
130009	1	100	10
130010	1	110	11
130011	1	10	1
130012	1	120	12
130013	1	120	12
130014	1	15	1
130015	1	110	11
130016	1	10	1
130017	1	560	56
130018	1	560	56
130019	1	540	54
130020	1	600	60
130021	1	530	53
130022	1	550	55
130023	1	1800	180
130024	1	2100	210
130025	1	2100	210
130026	1	15	1
130027	1	15	1
130028	1	120	12
130029	1	120	12
130030	1	120	12
130031	1	90	9
130032	1	120	12
130033	1	110	11
130034	1	120	12
130035	1	500	50
130036	1	530	53
130037	1	2000	200
130038	1	500	50
130039	1	10	1
130040	1	110	11
130041	1	540	54
140000	1	10	1
140001	1	10	1
140002	1	10	1
140003	1	15	1
140004	1	15	1
140005	1	20	2
140006	1	15	1
140007	1	15	1
140008	1	15	1
140009	1	110	11
140010	1	90	9
140011	1	120	12
140012	1	120	12
140013	1	110	11
140014	1	560	56
140015	1	560	56
140016	1	580	58
140017	1	520	52
140018	1	520	52
140019	1	550	55
140020	1	2000	200
140021	1	90	9
140022	1	2100	210
140023	1	10	1
140024	1	10	1
140025	1	100	10
140026	1	100	10
140027	1	120	12
140028	1	110	11
140029	1	90	9
140030	1	20	2
140031	1	100	10
140032	1	110	11
140033	1	100	10
140034	1	100	10
140035	1	560	56
140036	1	540	54
140037	1	500	50
140038	1	550	55
140039	1	580	58
140040	1	1900	190
140041	1	15	1
140042	1	20	2
150000	1	15	1
150001	1	15	1
150002	1	15	1
150003	1	15	1
150004	1	15	1
150005	1	15	1
150006	1	15	1
150007	1	15	1
150008	1	10	1
150009	1	10	1
150010	1	15	1
150011	1	15	1
150012	1	10	1
150013	1	110	11
150014	1	2200	220
150015	1	15	1
150016	1	100	10
150017	1	100	10
150018	1	100	10
150019	1	580	58
150020	1	540	54
150021	1	540	54
150022	1	550	55
150023	1	500	50
150024	1	530	53
150025	1	100	10
150026	1	550	55
150027	1	2000	200
150028	1	2200	220
150029	1	15	1
150030	1	100	10
150031	1	100	10
150032	1	100	10
150033	1	100	10
150034	1	100	10
150035	1	100	10
150036	1	580	58
150037	1	600	60
150038	1	550	55
150039	1	580	58
150040	1	10	1
150041	1	15	1
150042	1	15	1
150043	1	100	10
150044	1	15	1
150045	1	20	2
150046	1	120	12
150047	1	120	12
150048	1	20	2
150049	1	150	15
150050	1	150	15
200000	1	450	45
210000	1	10	1
210001	1	10	1
210002	1	15	1
210003	1	90	9
210004	1	100	10
210005	1	580	58
210006	1	100	10
210007	1	100	10
220000	1	110	11
220001	1	15	1
220002	1	120	12
220003	1	100	10
220004	1	100	10
220005	1	500	50
230000	1	15	1
230001	1	15	1
230002	1	560	56
230003	1	580	58
230004	1	10	1
240000	1	20	2
240001	1	560	56
240002	1	20	2
240003	1	20	2
250000	1	20	2
250001	1	15	1
250002	1	500	50
300000	1	10	1
300001	1	150	15
310000	1	10	1
310001	1	10	1
310002	1	600	60
310003	1	560	56
310004	1	15	1
310005	1	580	58
320000	1	20	2
320001	1	10	1
320002	1	10	1
320003	1	100	10
320004	1	90	9
320005	1	590	59
320006	1	560	56
320007	0	500	50
320008	0	2500	250
320009	1	550	55
320010	1	550	55
320011	1	15	1
330000	1	15	1
330001	1	20	2
330002	1	15	1
330003	1	20	2
330004	1	20	2
330005	1	120	12
330006	1	100	10
330007	1	120	12
330008	1	100	10
330009	1	560	56
330010	1	560	56
330011	1	500	50
330012	1	600	60
330013	1	580	58
330014	1	15	1
330015	1	20	2
330016	1	150	15
340000	1	10	1
340001	1	10	1
340002	1	10	1
340003	1	10	1
340004	1	15	1
340005	1	110	11
340006	1	110	11
340007	1	100	10
340008	1	120	12
340009	1	550	55
340010	1	540	54
340011	1	560	56
340012	0	580	58
340013	1	540	54
340014	1	540	54
340015	1	570	57
350000	1	10	1
350001	1	15	1
350002	1	110	11
350003	1	120	12
350004	1	90	9
350005	1	100	10
350006	1	550	55
350007	1	500	50
350008	1	580	58
350009	1	540	54
410000	1	10	1
410001	1	15	1
410002	1	20	2
410003	1	90	9
410004	1	100	10
410005	1	100	10
410006	1	100	10
410007	1	10	1
410008	1	500	50
410009	1	10	1
410010	1	15	1
410011	1	15	1
420000	1	10	1
420001	1	20	2
420002	1	10	1
420003	1	20	2
420004	1	15	1
420005	1	110	11
420006	1	90	9
420007	1	570	57
420008	1	120	12
420009	1	130	13
420010	1	600	60
420011	1	15	1
430000	1	15	1
430001	1	150	15
430002	1	15	1
430003	1	15	1
430004	1	20	2
430005	1	150	15
440000	1	10	1
440001	1	10	1
440002	1	15	1
440003	1	10	1
440004	1	90	9
440005	1	10	1
440006	1	10	1
450000	1	20	2
450001	1	10	1
450002	1	10	1
450003	1	20	2
450004	1	90	9
450005	1	590	59
