npc_id	npc_name	npc_desc	npc_icon	map	npc_camp	story_name	Death_trigger	my_deck	my_rc	my_libraryorder	my_hand	my_battlefile	npc_deck	npc_rc	npc_libraryorder	npc_hand	npc_battlefile	npcAI_id	npc_sc	first_hand	reward_id	g_exp	g_cash	g_gem	g_sc	g_card	g_pack	g_deck
int	int	int	int	int	int	string	int	int	int	int	int	string	int	int	int	int	string	int	int	int	int	int	int	int	int	string	string	int
1	300	301	162	106	1	img_angelcollege	0	1	3	1	1	0	1	1	1	-1	0	0	0	1	3000	60	15	0	0	110039#2	0	0
2	302	303	165	106	1	img_angelcollege	1	2	0	1	5	0	2	0	1	5	0	0	0	1	3001	180	15	0	0	110040#2	0	0
3	304	305	106	106	1	img_angelcollege	2	3	0	1	5	0	3	0	1	5	15|150009	0	0	1	3002	240	15	0	0	340007#2	0	0
4	306	307	113	106	1	img_angelcollege	3	4	3	1	2	0	4	3	1	3	13|140024#14|140024#8|140024#11|140024#17|140024#18|140024	0	0	2	3003	300	15	0	0	410004#2	0	0
5	308	309	103	106	1	img_angelcollege	4	5	5	1	-1	0	5	2	1	-1	0	0	0	1	3004	360	15	0	0	10002#1	0	0
6	310	311	120	102	1	img_angelcollege	5	6	0	0	7	0	6	0	0	0	0	0	0	1	3005	420	15	0	0	200000#2	100#10	0
7	500	501	149	105	2	img_PuzzleBAS	6	100	0	1	3	0	7	0	1	-1	13|100000#14|150009#15|100000#16|150009#17|100000#18|150009	0	0	1	3006	480	30	0	0	440001#2	0	0
8	500	501	149	105	2	img_PuzzleBAS	7	101	4	1	4	1|190000#2|190000#3|190000#4|190000#5|190000#6|190000	8	0	1	-1	13|150009#14|150009#15|150009#16|150009#17|150009#18|150009	0	0	2	3007	540	30	0	0	350002#1	0	0
9	500	501	149	105	2	img_PuzzleBAS	8	102	1	1	-1	1|150009#3|150009#5|150009	9	0	1	-1	13|120027#15|110000#17|150025#15|210001	0	0	2	3008	600	30	0	0	140012#1	0	0
10	500	501	149	105	2	img_PuzzleBAS	9	103	4	1	4	11|150009#8|150009	10	4	1	1	0	0	0	2	3009	660	60	0	0	0	0	0
