reward_id	exp_reward	gold_reward	gem_reward	fame_reward	card__reward	pack__reward	another__reward
int	int	int	int	int	string	string	int
1	0	20	0	0	0	0	0
2	0	40	0	0	0	0	0
3	0	60	0	0	0	0	0
4	0	80	0	0	0	0	0
5	0	40	0	0	0	0	0
6	0	60	0	0	0	0	0
7	0	80	0	0	0	0	0
8	0	100	0	0	0	0	0
9	0	30	0	0	0	0	0
10	0	50	0	0	0	0	0
11	0	70	0	0	0	0	0
12	0	90	0	0	0	0	0
13	0	40	0	0	0	0	0
14	0	60	0	0	0	0	0
15	0	80	0	0	0	0	0
16	0	100	0	0	0	0	0
17	0	40	0	0	0	0	0
18	0	60	0	0	0	0	0
19	0	80	0	0	0	0	0
20	0	100	0	0	0	0	0
21	0	40	0	0	0	0	0
22	0	60	0	0	0	0	0
23	0	80	0	0	0	0	0
24	0	100	0	0	0	0	0
25	0	40	0	0	0	0	0
26	0	60	0	0	0	0	0
27	0	80	0	0	0	0	0
28	0	100	0	0	0	0	0
29	0	40	0	0	0	0	0
30	0	60	0	0	0	0	0
31	0	80	0	0	0	0	0
32	0	100	0	0	0	0	0
101	0	20	0	0	0	0	0
102	0	20	0	0	100002#2	0	0
103	0	20	0	0	100004#2	0	0
104	0	20	0	0	100003#2	0	0
105	0	20	0	0	100001#2	0	0
106	0	20	0	0	100009#2	0	0
107	0	20	0	0	10006#1	0	0
108	0	20	0	0	40006#1	0	0
109	0	20	0	0	50003#1	0	0
110	0	30	0	0	50004#1	0	0
111	0	30	0	0	50005#1	0	0
112	0	30	0	0	50006#1	0	0
113	0	30	0	0	30006#1	0	0
114	0	30	0	0	20003#1	0	0
115	0	40	0	0	20004#1	0	0
116	0	40	0	0	20005#1	0	0
117	0	40	0	0	20006#1	0	0
118	0	40	0	0	0	152#1	0
119	0	40	0	0	0	151#1	0
120	0	50	0	0	0	150#1,100#1	0
121	0	50	0	0	0	151#1	0
122	0	50	0	0	0	150#1,100#1	0
123	0	50	0	0	0	150#1,100#1	0
124	0	50	0	0	0	151#1	0
125	0	60	0	0	0	150#1,100#1	0
126	0	60	0	0	0	150#1,100#1	0
127	0	60	0	0	0	151#1	0
128	0	60	0	0	0	150#1,100#1	0
129	0	60	0	0	0	150#1,100#1	0
130	0	70	0	0	0	151#1	0
131	0	70	0	0	0	150#1,100#1	0
132	0	70	0	0	0	150#1,100#1	0
133	0	70	0	0	0	151#1	0
134	0	70	0	0	0	150#1,100#1	0
135	0	80	0	0	0	150#1,100#1	0
136	0	80	0	0	0	151#1	0
137	0	80	0	0	0	151#1	0
138	0	80	0	0	0	151#1	0
139	0	80	0	0	0	152#1	0
140	0	80	0	0	0	101#1	0
141	0	80	0	0	0	101#1	0
142	0	80	0	0	0	101#1	0
143	0	80	0	0	0	101#1	0
144	0	80	0	0	0	101#1	0
145	0	150	0	0	0	0	0
146	0	150	0	0	0	0	0
147	0	150	0	0	0	0	0
148	0	150	0	0	0	0	0
149	0	150	0	0	0	0	0
150	0	150	0	0	0	0	0
151	0	150	0	0	0	0	0
152	0	150	0	0	0	0	0
153	0	150	0	0	0	0	0
154	0	150	0	0	0	0	0
155	0	150	0	0	0	0	0
156	0	150	0	0	0	0	0
157	0	150	0	0	0	0	0
158	0	150	0	0	0	0	0
159	0	150	0	0	0	0	0
160	0	150	0	0	0	0	0
161	0	150	0	0	0	0	0
162	0	150	0	0	0	0	0
163	0	150	0	0	0	0	0
164	0	150	0	0	0	0	0
165	0	150	0	0	0	0	0
166	0	150	0	0	0	0	0
167	0	150	0	0	0	0	0
168	0	150	0	0	0	0	0
169	0	150	0	0	0	0	0
170	0	150	0	0	0	0	0
171	0	150	0	0	0	0	0
172	0	150	0	0	0	0	0
173	0	150	0	0	0	0	0
174	0	150	0	0	0	0	0
175	0	150	0	0	0	0	0
176	0	150	0	0	0	0	0
177	0	150	0	0	0	0	0
178	0	150	0	0	0	0	0
179	0	150	0	0	0	0	0
180	0	150	0	0	0	0	0
181	0	150	0	0	0	0	0
182	0	150	0	0	0	0	0
183	0	150	0	0	0	0	0
184	0	150	0	0	0	0	0
185	0	150	0	0	0	0	0
186	0	150	0	0	0	0	0
187	0	150	0	0	0	0	0
188	0	150	0	0	0	0	0
189	0	150	0	0	0	0	0
190	0	150	0	0	0	0	0
191	0	150	0	0	0	0	0
192	0	150	0	0	0	0	0
193	0	150	0	0	0	0	0
194	0	150	0	0	0	0	0
195	0	150	0	0	0	0	0
196	0	150	0	0	0	0	0
197	0	150	0	0	0	0	0
198	0	150	0	0	0	0	0
199	0	150	0	0	0	0	0
201	0	10	0	0	0	0	0
202	0	30	0	0	0	0	0
203	0	50	0	0	0	0	0
