skill_id	runtime	condition	area	cost	last	type	fcamp	ftarget	fselect	fs_arg	farg	frepeat	nextskill	skillicon	effect_id
int	int	int	int	int	int	int	int	int	int	string	string	int	int	int	string
6	1	1	7	0	3	1	1	4	0	0	6,1	1	0	0	0
7	1	1	7	0	3	1	1	4	0	0	7,1	1	0	0	0
8	1	1	7	0	3	1	1	4	0	0	8,1	1	0	0	0
9	1	40	7	0	3	1	1	4	0	0	9,1	1	0	8	0
10	1	1	7	0	3	1	1	4	0	0	10,1	1	0	0	0
11	1	1	7	0	3	1	1	4	0	0	11,1	1	0	15	0
12	1	1	7	0	3	1	1	4	0	0	12,1	1	0	5	0
13	1	1	7	0	3	1	1	4	0	0	13,1	1	0	7	0
14	1	40	7	0	3	1	1	4	0	0	14,1	1	0	12	0
15	1	24	7	0	3	1	1	4	0	0	15,1	1	0	11	0
16	1	1	7	0	3	1	1	4	0	0	16,1	1	0	16	0
17	1	40	7	0	3	1	1	4	0	0	17,1	1	0	10	0
18	1	1	7	0	3	1	1	4	0	0	18,1	1	0	6	0
19	1	1	7	0	3	1	1	4	0	0	19,1	1	0	4	0
20	1	1	7	0	3	1	1	4	0	0	20,1	1	0	13	0
23	1	1	7	0	3	1	1	4	0	0	23,1	1	0	14	0
24	1	1	7	0	3	1	1	4	0	0	24,1	1	0	0	0
25	1	1	7	0	3	1	1	4	0	0	25,1	1	0	0	0
26	1	1	7	0	3	1	1	4	0	0	26,1	1	0	0	0
27	1	1	1	0	3	1	1	4	0	0	27,1	1	0	0	0
28	2	1	7	0	3	1	1	4	0	0	28,1	1	0	0	0
29	1	1	7	0	3	1	1	4	0	0	29,1	1	0	0	0
30	1	40	7	0	3	1	1	4	0	0	30,1	1	0	9	0
31	1	1	7	0	3	1	1	4	0	0	31,1	1	0	0	0
35	1	1	7	0	3	1	1	4	0	0	35,1	1	0	17	0
39	1	1	7	0	3	1	1	4	0	0	39,1	1	0	0	0
42	1	1	7	0	3	1	1	4	0	0	42,1	1	0	0	0
43	1	1	7	0	3	1	1	4	0	0	43,1	1	0	0	0
44	1	3	7	0	3	1	1	4	0	0	44,1	1	0	100	100037,1
101	1	1	1	0	1	1	1	4	0	0	101,1	1	0	100	0
102	1	1	1	0	1	1	1	4	0	0	102,1	1	0	100	0
100021	1	30	4	3	1	3	1	7	8	17,1	21,190000	1	0	0	0
100031	1	30	4	2	1	1	3	3	8	0	3,2	1	0	0	0
100041	1	30	4	4	1	1	1	2	9	0	2,1	1	0	0	100645,3
100051	1	30	4	2	2	10	3	2	8	0	12,1,1	1	0	0	100645,1
100061	2	30	4	4	1	4	1	1	9	0	40,1	1	0	0	100664,4
200021	2	30	4	2	2	10	3	2	8	0	24,1,1	1	0	0	100644,1
200031	1	30	4	3	1	6	1	2	8	0	4,1	1	0	0	100644,1
200041	1	30	4	2	2	10	3	2	8	0	8,1,1	1	0	0	100653,1
200051	1	30	4	4	2	1	2	2	9	0	1,-1,1	1	0	0	100319,1
200061	2	30	4	4	1	4	1	1	9	0	40,1	1	0	0	100664,1
300021	1	30	4	2	1	5	1	2	8	0	41,1	1	300022	0	100666,1
300022	1	102	4	0	1	1	1	2	9	4,1	1,2#2,1	1	1	0	0
300031	1	30	4	2	1	1	1	1	9	0	3,-2	1	300032	0	0
300032	1	102	4	0	1	4	1	1	9	0	40,1	1	0	0	100664,1
300041	1	30	4	2	2	10	3	2	8	0	30,1,1	1	0	0	100648,1
300051	1	30	4	3	1	1	3	3	8	0	3,-1	1	300052	0	100666,1
