id	text	shape	model	effect	blink	race1	race2	race3	type	version	qlt	cost	atk	health	class1	class2	team	finity	skill_id	keyword	position	usephase
int	int	int	int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	int	int
100000	100000	1	50030	0	0	0	0	0	1	2	1	3	3	1	1030		100000	4	100000	0	11	1
100001	100001	1	50030	0	0	0	0	0	1	2	2	3	2	3	1030		100001	4	100001	0	11	1
100002	100002	4	50030	0	0	0	0	0	1	2	2	3	2	5	1030		100002	4	100002	13	11	1
100003	100003	1	50030	0	0	0	0	0	1	2	2	4	0	6	1030		100003	4	100003	0	11	1
100004	100004	3	50030	0	0	0	0	0	1	2	2	5	4	6	1030		100004	4	100004	41	11	1
100005	100005	2	50030	0	0	0	0	0	1	2	2	2	2	1	1030		100005	4	100005	18,19	11	1
100006	100006	1	50030	0	0	0	0	0	1	2	2	3	5	5	1030		100006	4	100006	0	11	1
100007	100007	2	50030	0	0	0	0	0	1	2	2	4	3	4	1030		100007	4	100007	0	11	1
100008	100008	1	50030	0	0	0	0	0	1	2	2	5	5	1	1030		100008	4	100008	13	11	1
100009	100009	1	50030	0	0	0	0	0	1	2	2	6	4	3	1030		100009	4	100009	32	31	1
100010	100010	4	50030	0	0	0	0	0	1	2	2	6	4	4	1030		100010	4	100010	13	11	1
100011	100011	1	50030	0	0	0	0	0	1	2	2	7	4	4	1030		100011	4	100011	0	11	1
100012	100012	4	50030	0	0	0	0	0	1	2	4	6	8	8	1030		100012	4	100012	9,41,37	11	1
110000	110000	104	50009	0	0	1	0	0	1	1	1	1	1	1	1012		110000	4	110000	19	11	1
110001	110001	105	50010	0	0	1	0	0	1	1	2	1	2	1	1000	1032	110001	4	110001	0	11	1
110002	110002	100	50011	0	0	1	1	0	1	1	3	2	2	2	1000		110002	4	110002	0	11	1
110003	110003	104	50012	0	0	1	0	0	1	1	1	2	1	3	1000	1032	110003	4	110003	0	11	1
110004	110004	100	50013	0	0	1	0	0	1	1	1	2	1	1	1000	1037	110004	4	110004	41,11	11	1
110005	110005	105	50014	0	0	1	1	0	1	1	1	3	2	4	1000		110005	4	110005	0	11	1
110006	110006	105	50015	0	0	1	1	0	1	1	1	2	2	3	1000	1032	110006	4	110006	0	11	1
110007	110007	103	50016	0	0	1	1	0	1	1	2	2	2	2	1000	1035	110007	4	110007	12	11	1
110008	110008	104	50038	0	0	1	0	0	1	1	1	3	3	2	1000	1032	110008	4	110008	0	11	1
110009	110009	106	50018	0	0	1	0	0	1	1	1	3	2	2	1000	1032	110009	4	110009	21,19	11	3
110010	110010	103	50019	0	0	1	0	0	1	1	1	3	2	2	1000	1037	110010	4	110010	12	11	1
110011	110011	104	50020	0	0	1	0	0	1	1	2	3	2	2	1000	1032	110011	4	110011	0	11	1
110012	110012	101	50021	0	0	1	1	0	1	1	3	3	3	2	1000	1032	110012	4	110012	19,21	11	3
110013	110013	106	50022	0	0	1	1	0	1	1	1	4	3	3	1000	1032	110013	4	110013	12	11	1
110014	110014	102	50023	0	0	1	1	0	1	1	1	4	2	2	1024		110014	4	110014	22,19	11	1
110015	110015	100	50024	0	0	1	0	0	1	1	2	4	2	4	1000	1032	110015	4	110015	0	11	1
110016	110016	101	50025	0	0	1	1	0	1	1	2	4	3	3	1000	1036	110016	4	110016	19	11	1
110017	110017	103	50026	0	0	1	1	0	1	1	3	4	3	3	1000	1037	110017	4	110017	0	11	1
110018	110018	105	50027	0	0	1	0	0	1	1	1	5	3	5	1000		110018	4	110018	0	11	1
110019	110019	102	50028	0	0	1	0	0	1	1	2	5	4	3	1024		110019	4	110019	22,23	11	1
110020	110020	102	50029	0	0	1	1	0	1	1	3	5	2	4	1024		110020	4	110020	22	11	1
