id	text	race	shape	model	effect	version	qlt	health	finity	skill	keyword
int	int	int	int	int	string	int	int	int	int	int	string
10001	10001	1	10001	0	0	1	2	6	3	10001	7
10002	10002	1	10002	0	0	1	3	5	1	10002	2,11
10003	10003	1	10003	0	0	1	3	5	1	10003	2,11
10004	10004	1	10004	0	0	1	3	5	1	10004	2,11
10005	10005	1	10005	0	0	1	3	5	1	10005	2,19
10006	10006	1	10006	0	0	1	3	8	1	10006	2
20001	20001	2	20001	0	0	3	2	6	3	20001	7
20002	20002	2	20002	0	0	3	3	5	1	20002	2,11
20003	20003	2	20003	0	0	3	3	5	1	20003	2,26
20004	20004	2	20004	0	0	3	3	5	1	20004	2,22
20005	20005	2	20005	0	0	3	3	5	1	20005	2,11
20006	20006	2	20006	0	0	3	3	8	1	20006	2
30001	30001	3	30001	0	0	2	2	6	3	30001	7
30002	30002	3	30002	0	0	2	3	5	1	30002	2,11
30003	30003	3	30003	0	0	2	3	5	1	30003	2,11
30004	30004	3	30004	0	0	2	3	5	1	30004	2,11
30005	30005	3	30005	0	0	2	3	5	1	30005	2,11
30006	30006	3	30006	0	0	2	3	8	1	30006	2,1
40001	40001	4	40001	0	0	1	2	6	3	40001	7
40002	40002	4	40002	0	0	1	3	5	1	40002	2,11
40003	40003	4	40003	0	0	1	3	5	1	40003	2,11
40004	40004	4	40004	0	0	1	3	5	1	40004	2,11
40005	40005	4	40005	0	0	1	3	5	1	40005	2,11
40006	40006	4	40006	0	0	1	3	8	1	40006	2
50001	50001	5	50001	0	0	1	2	6	3	50001	7
50002	50002	5	50002	0	0	1	3	5	1	50002	2,11
50003	50003	5	50003	0	0	1	3	5	1	50003	2,11
50004	50004	5	50004	0	0	1	3	5	1	50004	2,11
50005	50005	5	50005	0	0	1	3	5	1	50005	2,11
50006	50006	5	50006	0	0	1	3	8	1	50006	2
90000	90000	1	11	0	0	1	1	8	0	90000	0
90001	90001	1	12	0	0	1	1	5	0	90001	0
90002	90002	4	13	0	0	1	1	6	0	90002	0
90003	90003	3	14	0	0	1	1	6	0	90003	0
90004	90004	5	15	0	0	1	1	6	0	90004	0
90005	90005	5	16	0	0	1	1	8	0	90005	0
