id	 exist 	buy	costup	costdown	buy_min	inventory 	update_day	update_hour	update_amount	0	0	0
int	int	int	int	int	int	int	string	string	int	0	0	0
10001	1	1000	50	50	300	50	0	12,23	5	0	0	0
10002	1	1000	50	50	300	50	0	12,23	5	0	0	0
10003	1	1000	50	50	300	50	0	12,23	5	0	0	0
10004	1	1000	50	50	300	50	0	12,23	5	0	0	0
10005	1	1000	50	50	300	50	0	12,23	5	0	0	0
10006	1	1000	50	50	300	50	0	12,23	5	0	0	0
20001	1	1000	50	50	300	50	0	12,23	5	0	0	0
20002	1	1000	50	50	300	50	0	12,23	5	0	0	0
20003	1	1000	50	50	300	50	0	12,23	5	0	0	0
20004	1	1000	50	50	300	50	0	12,23	5	0	0	0
20005	1	1000	50	50	300	50	0	12,23	5	0	0	0
20006	1	1000	50	50	300	50	0	12,23	5	0	0	0
30001	1	1000	50	50	300	50	0	12,23	5	0	0	0
30002	1	1000	50	50	300	50	0	12,23	5	0	0	0
30003	1	1000	50	50	300	50	0	12,23	5	0	0	0
30004	1	1000	50	50	300	50	0	12,23	5	0	0	0
30005	1	1000	50	50	300	50	0	12,23	5	0	0	0
30006	1	1000	50	50	300	50	0	12,23	5	0	0	0
40001	1	1000	50	50	300	50	0	12,23	5	0	0	0
40002	1	1000	50	50	300	50	0	12,23	5	0	0	0
40003	1	1000	50	50	300	50	0	12,23	5	0	0	0
40004	1	1000	50	50	300	50	0	12,23	5	0	0	0
40005	1	1000	50	50	300	50	0	12,23	5	0	0	0
40006	1	1000	50	50	300	50	0	12,23	5	0	0	0
50001	1	1000	50	50	300	50	0	12,23	5	0	0	0
50002	1	1000	50	50	300	50	0	12,23	5	0	0	0
50003	1	1000	50	50	300	50	0	12,23	5	0	0	0
50004	1	1000	50	50	300	50	0	12,23	5	0	0	0
50005	1	1000	50	50	300	50	0	12,23	5	0	0	0
50006	1	1000	50	50	300	50	0	12,23	5	0	0	0
100000	1	1000	50	50	300	50	0	12,23	5	0	0	0
100001	1	1000	50	50	300	50	0	12,23	5	0	0	0
100002	1	1000	50	50	300	50	0	12,23	5	0	0	0
100003	1	1000	50	50	300	50	0	12,23	5	0	0	0
100004	1	1000	50	50	300	50	0	12,23	5	0	0	0
100005	1	1000	50	50	300	50	0	12,23	5	0	0	0
100006	1	1000	50	50	300	50	0	12,23	5	0	0	0
100007	1	1000	50	50	300	50	0	12,23	5	0	0	0
100008	1	1000	50	50	300	50	0	12,23	5	0	0	0
100009	1	1000	50	50	300	50	0	12,23	5	0	0	0
100010	1	1000	50	50	300	50	0	12,23	5	0	0	0
100011	1	1000	50	50	300	50	0	12,23	5	0	0	0
100012	1	1000	50	50	300	50	0	12,23	5	0	0	0
110000	1	1000	50	50	300	50	0	12,23	5	0	0	0
110001	1	1000	50	50	300	50	0	12,23	5	0	0	0
110002	1	1000	50	50	300	50	0	12,23	5	0	0	0
110003	1	1000	50	50	300	50	0	12,23	5	0	0	0
110004	1	1000	50	50	300	50	0	12,23	5	0	0	0
110005	1	1000	50	50	300	50	0	12,23	5	0	0	0
110006	1	1000	50	50	300	50	0	12,23	5	0	0	0
110007	1	1000	50	50	300	50	0	12,23	5	0	0	0
110008	1	1000	50	50	300	50	0	12,23	5	0	0	0
110009	1	1000	50	50	300	50	0	12,23	5	0	0	0
110010	1	1000	50	50	300	50	0	12,23	5	0	0	0
110011	1	1000	50	50	300	50	0	12,23	5	0	0	0
110012	1	1000	50	50	300	50	0	12,23	5	0	0	0
110013	1	1000	50	50	300	50	0	12,23	5	0	0	0
110014	1	1000	50	50	300	50	0	12,23	5	0	0	0
110015	1	1000	50	50	300	50	0	12,23	5	0	0	0
110016	1	1000	50	50	300	50	0	12,23	5	0	0	0
110017	1	1000	50	50	300	50	0	12,23	5	0	0	0
110018	1	1000	50	50	300	50	0	12,23	5	0	0	0
110019	1	1000	50	50	300	50	0	12,23	5	0	0	0
110020	1	1000	50	50	300	50	0	12,23	5	0	0	0
110021	1	1000	50	50	300	50	0	12,23	5	0	0	0
110022	1	1000	50	50	300	50	0	12,23	5	0	0	0
110023	1	1000	50	50	300	50	0	12,23	5	0	0	0
110024	1	1000	50	50	300	50	0	12,23	5	0	0	0
110025	1	1000	50	50	300	50	0	12,23	5	0	0	0
110026	1	1000	50	50	300	50	0	12,23	5	0	0	0
110027	1	1000	50	50	300	50	0	12,23	5	0	0	0
120000	1	1000	50	50	300	50	0	12,23	5	0	0	0
120001	1	1000	50	50	300	50	0	12,23	5	0	0	0
120002	1	1000	50	50	300	50	0	12,23	5	0	0	0
